Mon Aug 20 17:27:59 2018    profile.stats

         328200 function calls (322435 primitive calls) in 0.546 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:765(_create_pseudo_member_)
       26    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:795(__or__)
      254    0.000    0.000    0.001    0.000 E:\python\python36\lib\enum.py:801(__and__)
       13    0.000    0.000    0.000    0.000 E:\python\python36\lib\sre_compile.py:376(_mk_bitmap)
       19    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:820(_high_bit)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:848(<listcomp>)
        3    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:855(<listcomp>)
       15    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:866(<lambda>)
        4    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:837(_decompose)
       25    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:872(_power_of_two)
       13    0.000    0.000    0.000    0.000 E:\python\python36\lib\sre_compile.py:378(<listcomp>)
        2    0.000    0.000    0.000    0.000 E:\python\python36\lib\sre_compile.py:381(_bytes_to_codes)
       38    0.000    0.000    0.000    0.000 E:\python\python36\lib\sre_compile.py:388(_simple)
